ic_name	hub_name	dist
ic_1	hub_1	130.38
ic_1	hub_2	61.35
ic_1	hub_3	111.02
ic_1	hub_4	241.92
ic_1	hub_5	255.20
ic_1	hub_6	305.94
ic_1	hub_7	60.42
ic_1	hub_8	215.87
ic_1	hub_9	199.25
ic_1	hub_10	365.31
ic_1	hub_11	187.95
ic_1	hub_12	283.06
ic_1	hub_13	307.00
ic_1	hub_14	291.55
ic_1	hub_15	460.49
ic_2	hub_1	283.59
ic_2	hub_2	192.84
ic_2	hub_3	261.63
ic_2	hub_4	353.62
ic_2	hub_5	322.49
ic_2	hub_6	343.11
ic_2	hub_7	125.40
ic_2	hub_8	47.17
ic_2	hub_9	87.32
ic_2	hub_10	199.06
ic_2	hub_11	206.16
ic_2	hub_12	255.05
ic_2	hub_13	222.99
ic_2	hub_14	192.42
ic_2	hub_15	373.53
ic_3	hub_1	446.35
ic_3	hub_2	356.05
ic_3	hub_3	394.59
ic_3	hub_4	447.21
ic_3	hub_5	387.10
ic_3	hub_6	378.32
ic_3	hub_7	270.05
ic_3	hub_8	140.09
ic_3	hub_9	138.29
ic_3	hub_10	42.72
ic_3	hub_11	271.02
ic_3	hub_12	256.12
ic_3	hub_13	174.43
ic_3	hub_14	141.51
ic_3	hub_15	275.73
ic_4	hub_1	266.27
ic_4	hub_2	216.48
ic_4	hub_3	120.93
ic_4	hub_4	140.09
ic_4	hub_5	109.20
ic_4	hub_6	151.33
ic_4	hub_7	125.90
ic_4	hub_8	262.49
ic_4	hub_9	174.93
ic_4	hub_10	351.92
ic_4	hub_11	52.20
ic_4	hub_12	148.41
ic_4	hub_13	207.97
ic_4	hub_14	210.00
ic_4	hub_15	342.13
ic_5	hub_1	368.92
ic_5	hub_2	289.39
ic_5	hub_3	268.00
ic_5	hub_4	292.62
ic_5	hub_5	227.43
ic_5	hub_6	220.23
ic_5	hub_7	179.03
ic_5	hub_8	180.28
ic_5	hub_9	70.71
ic_5	hub_10	201.12
ic_5	hub_11	115.43
ic_5	hub_12	105.95
ic_5	hub_13	71.06
ic_5	hub_14	53.85
ic_5	hub_15	227.27
ic_6	hub_1	398.50
ic_6	hub_2	369.22
ic_6	hub_3	232.43
ic_6	hub_4	116.73
ic_6	hub_5	55.00
ic_6	hub_6	50.99
ic_6	hub_7	288.53
ic_6	hub_8	411.83
ic_6	hub_9	308.06
ic_6	hub_10	461.57
ic_6	hub_11	165.60
ic_6	hub_12	174.43
ic_6	hub_13	266.18
ic_6	hub_14	288.44
ic_6	hub_15	335.04
ic_7	hub_1	443.00
ic_7	hub_2	385.06
ic_7	hub_3	293.98
ic_7	hub_4	236.48
ic_7	hub_5	148.07
ic_7	hub_6	96.18
ic_7	hub_7	278.57
ic_7	hub_8	339.48
ic_7	hub_9	227.71
ic_7	hub_10	342.05
ic_7	hub_11	136.47
ic_7	hub_12	55.90
ic_7	hub_13	134.54
ic_7	hub_14	165.08
ic_7	hub_15	191.05
ic_8	hub_1	530.21
ic_8	hub_2	454.70
ic_8	hub_3	407.19
ic_8	hub_4	381.18
ic_8	hub_5	295.04
ic_8	hub_6	248.24
ic_8	hub_7	343.11
ic_8	hub_8	324.23
ic_8	hub_9	230.71
ic_8	hub_10	252.24
ic_8	hub_11	235.05
ic_8	hub_12	143.18
ic_8	hub_13	96.05
ic_8	hub_14	122.98
ic_8	hub_15	60.21

