variable,ic_name,hub_name,period,flow
xijt,ic_1,hub_1,t_1,140.0
xijt,ic_1,hub_1,t_2,147.0
xijt,ic_1,hub_1,t_3,155.0
xijt,ic_1,hub_1,t_4,163.0
xijt,ic_1,hub_1,t_5,172.0
xijt,ic_1,hub_1,t_6,181.0
xijt,ic_1,hub_1,t_7,176.0
xijt,ic_1,hub_1,t_8,171.0
xijt,ic_1,hub_1,t_9,166.0
xijt,ic_1,hub_1,t_10,162.0
xijt,ic_1,hub_1,t_11,158.0
xijt,ic_1,hub_1,t_12,163.0
xijt,ic_1,hub_1,t_13,159.0
xijt,ic_1,hub_1,t_14,175.0
xijt,ic_1,hub_1,t_15,184.0
xijt,ic_1,hub_1,t_16,203.0
xijt,ic_1,hub_1,t_17,183.0
xijt,ic_1,hub_1,t_18,174.0
xijt,ic_1,hub_1,t_19,183.0
xijt,ic_1,hub_1,t_20,174.0
xijt,ic_1,hub_1,t_21,183.0
xijt,ic_1,hub_1,t_22,174.0
xijt,ic_1,hub_1,t_23,183.0
xijt,ic_1,hub_1,t_24,174.0
xijt,ic_1,hub_1,t_25,173.0
xijt,ic_1,hub_1,t_26,172.0
xijt,ic_1,hub_1,t_27,171.0
xijt,ic_1,hub_1,t_28,170.0
xijt,ic_1,hub_1,t_29,169.0
xijt,ic_1,hub_1,t_30,171.0
xijt,ic_1,hub_1,t_31,170.0
xijt,ic_1,hub_1,t_32,169.0
xijt,ic_1,hub_1,t_33,170.0
xijt,ic_1,hub_1,t_34,170.0
xijt,ic_1,hub_1,t_35,170.0
xijt,ic_1,hub_1,t_36,170.0
xijt,ic_1,hub_1,t_37,169.0
xijt,ic_1,hub_1,t_38,172.0
xijt,ic_1,hub_1,t_39,170.0
xijt,ic_1,hub_1,t_40,168.0
xijt,ic_1,hub_1,t_41,171.0
xijt,ic_1,hub_1,t_42,169.0
xijt,ic_1,hub_1,t_43,172.0
xijt,ic_1,hub_1,t_44,170.0
xijt,ic_1,hub_1,t_45,168.0
xijt,ic_1,hub_1,t_46,171.0
xijt,ic_1,hub_1,t_47,169.0
xijt,ic_1,hub_1,t_48,172.0
xijt,ic_1,hub_2,t_1,130.0
xijt,ic_1,hub_2,t_2,137.0
xijt,ic_1,hub_2,t_3,144.0
xijt,ic_1,hub_2,t_4,152.0
xijt,ic_1,hub_2,t_5,160.0
xijt,ic_1,hub_2,t_6,168.0
xijt,ic_1,hub_2,t_7,163.0
xijt,ic_1,hub_2,t_8,159.0
xijt,ic_1,hub_2,t_9,164.0
xijt,ic_1,hub_2,t_10,160.0
xijt,ic_1,hub_2,t_11,156.0
xijt,ic_1,hub_2,t_12,161.0
xijt,ic_1,hub_2,t_13,157.0
xijt,ic_1,hub_2,t_14,173.0
xijt,ic_1,hub_2,t_15,182.0
xijt,ic_1,hub_2,t_16,201.0
xijt,ic_1,hub_2,t_17,181.0
xijt,ic_1,hub_2,t_18,172.0
xijt,ic_1,hub_2,t_19,181.0
xijt,ic_1,hub_2,t_20,172.0
xijt,ic_1,hub_2,t_21,181.0
xijt,ic_1,hub_2,t_22,172.0
xijt,ic_1,hub_2,t_23,181.0
xijt,ic_1,hub_2,t_24,172.0
xijt,ic_1,hub_2,t_25,171.0
xijt,ic_1,hub_2,t_26,170.0
xijt,ic_1,hub_2,t_27,169.0
xijt,ic_1,hub_2,t_28,168.0
xijt,ic_1,hub_2,t_29,170.0
xijt,ic_1,hub_2,t_30,169.0
xijt,ic_1,hub_2,t_31,171.0
xijt,ic_1,hub_2,t_32,170.0
xijt,ic_1,hub_2,t_33,170.0
xijt,ic_1,hub_2,t_34,170.0
xijt,ic_1,hub_2,t_35,170.0
xijt,ic_1,hub_2,t_36,170.0
xijt,ic_1,hub_2,t_37,168.0
xijt,ic_1,hub_2,t_38,171.0
xijt,ic_1,hub_2,t_39,169.0
xijt,ic_1,hub_2,t_40,172.0
xijt,ic_1,hub_2,t_41,170.0
xijt,ic_1,hub_2,t_42,168.0
xijt,ic_1,hub_2,t_43,171.0
xijt,ic_1,hub_2,t_44,169.0
