ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_1,t_1,440.0,10.0,42,420.0,480.0
ic_1,t_2,604.0,10.5,42,441.0,317.0
ic_1,t_3,595.0,11.0,42,462.0,184.0
ic_1,t_4,667.0,11.5,42,483.0,0.0
ic_1,t_5,504.0,12.0,42,504.0,0.0
ic_1,t_6,525.0,12.5,42,525.0,0.0
ic_1,t_7,546.0,13.0,42,546.0,0.0
ic_1,t_8,567.0,13.5,42,567.0,0.0
ic_1,t_9,587.0,14.0,42,588.0,1.0
ic_1,t_10,610.0,14.5,42,609.0,0.0
ic_1,t_11,630.0,15.0,42,630.0,0.0
ic_1,t_12,644.0,15.5,42,651.0,7.0
ic_1,t_13,637.0,16.0,42,672.0,42.0
ic_1,t_14,669.0,16.5,42,693.0,66.0
ic_1,t_15,704.0,17.0,42,714.0,76.0
ic_1,t_16,777.0,17.5,42,735.0,34.0
ic_1,t_17,735.0,18.0,42,756.0,55.0
ic_1,t_18,699.0,17.5,42,735.0,91.0
ic_1,t_19,717.0,18.0,42,756.0,130.0
ic_1,t_20,699.0,17.5,42,735.0,166.0
ic_1,t_21,717.0,18.0,42,756.0,205.0
ic_1,t_22,699.0,17.5,42,735.0,241.0
ic_1,t_23,717.0,18.0,42,756.0,280.0
ic_1,t_24,699.0,17.5,42,735.0,316.0
ic_1,t_25,695.0,18.0,42,756.0,377.0
ic_1,t_26,691.0,17.5,42,735.0,421.0
ic_1,t_27,687.0,17.0,42,714.0,448.0
ic_1,t_28,683.0,16.5,42,693.0,458.0
ic_1,t_29,685.0,16.5,42,693.0,466.0
ic_1,t_30,684.0,16.0,42,672.0,454.0
ic_1,t_31,683.0,15.5,42,651.0,422.0
ic_1,t_32,682.0,15.5,42,651.0,391.0
ic_1,t_33,683.0,15.5,42,651.0,359.0
ic_1,t_34,683.0,16.0,42,672.0,348.0
ic_1,t_35,683.0,16.0,42,672.0,337.0
ic_1,t_36,683.0,16.0,42,672.0,326.0
ic_1,t_37,676.0,15.5,42,651.0,301.0
ic_1,t_38,683.0,16.0,42,672.0,290.0
ic_1,t_39,680.0,16.0,42,672.0,282.0
ic_1,t_40,677.0,16.0,42,672.0,277.0
ic_1,t_41,684.0,16.5,42,693.0,286.0
ic_1,t_42,676.0,16.0,42,672.0,282.0
ic_1,t_43,683.0,16.5,42,693.0,292.0
ic_1,t_44,680.0,16.0,42,672.0,284.0
ic_1,t_45,677.0,16.0,42,672.0,279.0
ic_1,t_46,684.0,16.5,42,693.0,288.0
ic_1,t_47,676.0,16.0,42,672.0,284.0
ic_1,t_48,683.0,16.5,42,693.0,294.0
ic_2,t_1,180.0,6.0,34,204.0,394.0
ic_2,t_2,171.0,6.25,34,212.5,435.5
ic_2,t_3,221.0,6.25,34,212.5,427.0
ic_2,t_4,171.0,6.0,34,204.0,460.0
ic_2,t_5,180.0,5.75,34,195.5,475.5
ic_2,t_6,175.0,5.5,34,187.0,487.5
ic_2,t_7,166.0,5.25,34,178.5,500.0
ic_2,t_8,162.0,5.0,34,170.0,508.0
ic_2,t_9,158.0,4.75,34,161.5,511.5
ic_2,t_10,163.0,4.5,34,153.0,501.5
ic_2,t_11,159.0,4.25,34,144.5,487.0
ic_2,t_12,164.0,4.0,34,136.0,459.0
ic_2,t_13,160.0,4.25,34,144.5,443.5
ic_2,t_14,144.0,4.5,34,153.0,452.5
ic_2,t_15,152.0,4.75,34,161.5,462.0
ic_2,t_16,168.0,5.0,34,170.0,464.0
ic_2,t_17,185.0,5.25,34,178.5,457.5
ic_2,t_18,176.0,5.0,34,170.0,451.5
ic_2,t_19,185.0,5.25,34,178.5,445.0
