ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_1,t_1,440.0,10.0,42,420.0,480.0
ic_1,t_2,604.0,10.5,42,441.0,317.0
ic_1,t_3,636.0,11.0,42,462.0,143.0
ic_1,t_4,568.5,11.5,42,483.0,57.5
ic_1,t_5,503.0,12.0,42,504.0,58.5
ic_1,t_6,484.0,12.5,42,525.0,99.5
ic_1,t_7,624.0,13.0,42,546.0,21.5
ic_1,t_8,588.5,13.5,42,567.0,0.0
ic_1,t_9,588.0,14.0,42,588.0,0.0
ic_1,t_10,606.0,14.5,42,609.0,3.0
ic_1,t_11,633.0,15.0,42,630.0,0.0
ic_1,t_12,644.0,15.5,42,651.0,7.0
ic_1,t_13,637.0,16.0,42,672.0,42.0
ic_1,t_14,669.0,16.5,42,693.0,66.0
ic_1,t_15,704.0,17.0,42,714.0,76.0
ic_1,t_16,777.0,17.5,42,735.0,34.0
ic_1,t_17,735.0,18.0,42,756.0,55.0
ic_1,t_18,699.0,17.5,42,735.0,91.0
ic_1,t_19,717.0,18.0,42,756.0,130.0
ic_1,t_20,699.0,17.5,42,735.0,166.0
ic_1,t_21,717.0,18.0,42,756.0,205.0
ic_1,t_22,699.0,17.5,42,735.0,241.0
ic_1,t_23,717.0,17.5,42,735.0,259.0
ic_1,t_24,699.0,17.0,42,714.0,274.0
ic_1,t_25,695.0,17.5,42,735.0,314.0
ic_1,t_26,691.0,17.5,42,735.0,358.0
ic_1,t_27,687.0,17.0,42,714.0,385.0
ic_1,t_28,683.0,17.0,42,714.0,416.0
ic_1,t_29,685.0,17.0,42,714.0,445.0
ic_1,t_30,684.0,17.0,42,714.0,475.0
ic_1,t_31,683.0,16.5,42,693.0,485.0
ic_1,t_32,682.0,17.0,42,714.0,517.0
ic_1,t_33,683.0,16.5,42,693.0,527.0
ic_1,t_34,683.0,16.5,42,693.0,537.0
ic_1,t_35,683.0,16.0,42,672.0,526.0
ic_1,t_36,683.0,16.5,42,693.0,536.0
ic_1,t_37,676.0,16.0,42,672.0,532.0
ic_1,t_38,683.0,16.5,42,693.0,542.0
ic_1,t_39,680.0,16.0,42,672.0,534.0
ic_1,t_40,677.0,16.0,42,672.0,529.0
ic_1,t_41,684.0,16.5,42,693.0,538.0
ic_1,t_42,676.0,16.0,42,672.0,534.0
ic_1,t_43,683.0,16.5,42,693.0,544.0
ic_1,t_44,680.0,16.0,42,672.0,536.0
ic_1,t_45,677.0,16.0,42,672.0,531.0
ic_1,t_46,684.0,16.5,42,693.0,540.0
ic_1,t_47,676.0,16.0,42,672.0,536.0
ic_1,t_48,683.0,16.5,42,693.0,546.0
ic_2,t_1,180.0,6.0,34,204.0,394.0
ic_2,t_2,171.0,6.25,34,212.5,435.5
ic_2,t_3,180.0,6.5,34,221.0,476.5
ic_2,t_4,171.0,6.25,34,212.5,518.0
ic_2,t_5,180.0,6.0,34,204.0,542.0
ic_2,t_6,216.0,5.75,34,195.5,521.5
ic_2,t_7,166.0,5.5,34,187.0,542.5
ic_2,t_8,162.0,5.25,34,178.5,559.0
ic_2,t_9,158.0,5.0,34,170.0,571.0
ic_2,t_10,186.0,4.75,34,161.5,546.5
ic_2,t_11,159.0,4.5,34,153.0,540.5
ic_2,t_12,164.0,4.25,34,144.5,521.0
ic_2,t_13,160.0,4.5,34,153.0,514.0
ic_2,t_14,144.0,4.75,34,161.5,531.5
ic_2,t_15,152.0,5.0,34,170.0,549.5
ic_2,t_16,168.0,5.25,34,178.5,560.0
ic_2,t_17,185.0,5.25,34,178.5,553.5
ic_2,t_18,176.0,5.25,34,178.5,556.0
ic_2,t_19,185.0,5.5,34,187.0,558.0
