period,finalinventory,flow,safetyratio,unitdeviation,deviationfromsafetyratio
t_1,3441.0,2375.0,1.45,121.5,0.05
t_2,3571.7,2375.0,1.5,9.2,0.0
t_3,3663.5,2501.0,1.46,88.0,0.04
t_4,3721.6,2560.0,1.45,118.4,0.05
t_5,3705.0,2640.0,1.4,255.0,0.1
t_6,3668.2,2648.0,1.39,303.8,0.11
t_7,3676.7,2573.0,1.43,182.8,0.07
t_8,3702.5,2503.0,1.48,52.0,0.02
t_9,3733.6,2445.0,1.53,66.1,0.03
t_10,3733.5,2420.0,1.54,103.5,0.04
t_11,3749.7,2386.0,1.57,170.7,0.07
t_12,3729.2,2425.0,1.54,91.7,0.04
t_13,3735.0,2401.0,1.56,133.5,0.06
t_14,3851.5,2385.0,1.61,274.0,0.11
t_15,3935.7,2512.0,1.57,167.7,0.07
t_16,3853.6,2773.0,1.39,305.9,0.11
t_17,3857.7,2773.0,1.39,301.8,0.11
t_18,3954.6,2638.0,1.5,2.4,0.0
t_19,4000.8,2701.0,1.48,50.7,0.02
t_20,4025.3,2638.0,1.53,68.3,0.03
t_21,4011.6,2701.0,1.49,39.9,0.01
t_22,3997.2,2638.0,1.52,40.2,0.02
t_23,3979.8,2701.0,1.47,71.7,0.03
t_24,3930.7,2638.0,1.49,26.3,0.01
t_25,3906.4,2623.0,1.49,28.1,0.01
t_26,3879.9,2608.0,1.49,32.1,0.01
t_27,3858.8,2593.0,1.49,30.7,0.01
t_28,3835.5,2578.0,1.49,31.5,0.01
t_29,3829.0,2575.0,1.49,33.5,0.01
t_30,3822.5,2569.0,1.49,31.0,0.01
t_31,3807.0,2557.0,1.49,28.5,0.01
t_32,3820.1,2563.0,1.49,24.4,0.01
t_33,3826.2,2566.0,1.49,22.8,0.01
t_34,3830.8,2566.0,1.49,18.2,0.01
t_35,3821.6,2566.0,1.49,27.4,0.01
t_36,3816.1,2566.0,1.49,32.9,0.01
t_37,3782.6,2537.0,1.49,22.9,0.01
t_38,3818.8,2562.0,1.49,24.2,0.01
t_39,3797.5,2552.0,1.49,30.5,0.01
t_40,3757.6,2537.0,1.48,47.9,0.02
t_41,3775.9,2562.0,1.47,67.1,0.03
t_42,3724.5,2537.0,1.47,81.0,0.03
t_43,3742.8,2562.0,1.46,100.2,0.04
t_44,3713.6,2552.0,1.46,114.4,0.04
t_45,3688.1,2537.0,1.45,117.4,0.05
t_46,3723.8,2562.0,1.45,119.2,0.05
t_47,3689.8,2537.0,1.45,115.7,0.05
t_48,3725.5,2562.0,1.45,117.5,0.05
